state,x,y
Jammu And Kashmir,-112.0, 226.0
Himachal Pradesh,-92.0, 170.0
Punjab, -123.0, 145.0
Uttarakhand,-55.0, 132.0
Haryana,-106.0 ,113.0
Rajasthan,-156.0 ,68.0
Gujarat,-195.0 ,-18.0
Uttar Pradesh,-37.0, 75.0
Bihar,59.0, 43.0
Jharkhand,47.0 ,5.0
West Bengal,98.0 ,-9.0
Sikkim,107.0 ,79.0
Arunachal Pradesh,196.0 ,89.0
Assam,186.0 ,56.0
Meghalaya,150.0 ,39.0
Manipur,201.0 ,25.0
Nagaland,211.0 ,52.0
Madhya Pradesh,-68.0 ,-4.0
Maharashtra,-130.0 ,-72.0
Goa,-148.0 ,-145.0
Karnataka,-124.0 ,-164.0
Kerala,-104.0 ,-239.0
Tamil Nadu,-73.0 ,-228.0
Andhra Pradesh,-57.0 ,-128.0
Orissa,31.0 ,-54.0
Chhattisgarh,-14.0, -37.0
Andaman And Nicobar,181.0 ,-212.0
Lakshadweep,-177.0 ,-230.0




